id,date,kospi_close,kospi_chg_pct,clean_day,event,category,time_kst,scheduled,expected_vs_actual,news_N,impact_I,direction,importance,confidence,exposure,unverified,market_closed
KR-20250116-01,2025-01-16,2527.49,1.23,N,"미 12월 CPI 근원 3.2%로 예상(3.3%) 하회(1/15 22:30) → 물가 안도 랠리, 외국인 2,272억 순매수",거시지표,1/15 22:30,예정,근원 예상 3.3% → 실제 3.2%,4,3,▲,3.4,B,지수,N,N
KR-20250116-02,2025-01-16,2527.49,1.23,N,"한은 기준금리 3.00% 깜짝 동결(10:00경) — 시장은 인하 예상, 환율 방어 우선",통화정책,10:00 장중,예정,예상 인하 → 실제 동결,4,2,◆,2.8,A,금리민감주·은행,N,N
KR-20250116-03,2025-01-16,2527.49,1.23,N,TSMC 4Q 호실적(당일 15:00경) 기대 → SK하이닉스 +5.95%,반도체/AI,장중,예정,—,3,2,▲,2.4,C,반도체,N,N
KR-20250117-01,2025-01-17,2523.55,-0.16,N,"트럼프 취임(1/20) 앞두고 관망, 외국인 순매도 전환",수급,장중,—,—,2,1,▼,1.4,C,지수,N,N
KR-20250120-01,2025-01-20,2520.05,-0.14,N,"트럼프 취임식(1/21 02:00 KST) 앞 관망, 2거래일 연속 약세",정책(해외),1/21 02:00,예정,—,3,1,◆,1.8,C,지수,N,N
KR-20250121-01,2025-01-21,2518.03,-0.08,N,"트럼프 전기차 의무화 폐지 행정명령 → 2차전지 급락(포스코퓨처엠 -9.88%, 에코프로비엠 -8.62%, LG에너지솔루션 -4.32%)",정책(해외),1/21 새벽,돌발,—,4,3,▼,3.4,B,2차전지,N,N
KR-20250121-02,2025-01-21,2518.03,-0.08,N,"트럼프 취임 첫날 ""보편관세 아직 준비 안 돼"" 발언 → 장초 2,548까지 상승, 이후 ""2/1부터 멕시코·캐나다 25%"" 발언에 하락 전환",정책(해외),장중,돌발,즉시 보편관세 예상 → 유예,5,2,◆,3.2,A,지수·수출주,N,N
KR-20250121-03,2025-01-21,2518.03,-0.08,N,"""미국 에너지 우위·조선 협력"" 기대 → 조선·원전·방산 강세(HD현대미포 +9.67%, HD현대중공업 +6.00%)",정책(해외),1/21 새벽,돌발,—,3,2,▲,2.4,B,조선·원전·방산,N,N
KR-20250122-01,2025-01-22,2547.06,1.15,Y,"미 ""스타게이트"" AI 인프라 투자(오픈AI·소프트뱅크·오라클 최대 5,000억달러) 발표(1/22 07:00 KST) → AI·반도체 강세, 두 달 반 만에 2,540선",반도체/AI,1/22 07:00,돌발,—,4,3,▲,3.4,B,반도체·AI,N,N
KR-20250123-01,2025-01-23,2515.49,-1.24,N,"SK하이닉스 4Q24 영업이익 8.08조(사상 최대, 삼성전자 전사 추월) 발표(08:00 장전)에도 차익실현 -3%대",기업실적,08:00 장전,예정,컨센 부합·사상 최대 → 주가 하락,4,2,▼,2.8,B,SK하이닉스,N,N
KR-20250123-02,2025-01-23,2515.49,-1.24,N,"설 연휴 앞 차익실현, 1%대 하락",수급,장중,—,—,2,2,▼,2.0,C,지수,N,N
KR-20250124-01,2025-01-24,2536.8,0.85,N,"트럼프 ""금리·유가 내려야"" 다보스 발언(1/23 美) → 위험선호, 연휴 앞 외국인 2,301억 순매수",정책(해외),1/24 01:00,돌발,—,3,2,▲,2.4,B,지수,N,N
KR-20250127-01,2025-01-27,,,N,"[휴장: 임시공휴일] 중국 딥시크(DeepSeek) R1 쇼크 — 저비용 고성능 AI 공개로 美 엔비디아 -17%(시총 약 5,900억달러 증발). 1/31 국내 반영",반도체/AI,1/27 美 장중,돌발,—,5,4,▼,4.4,B,반도체·전력기기,N,Y
KR-20250131-01,2025-01-31,2517.37,-0.77,Y,"설 연휴(1/27~30) 후 딥시크 쇼크 반영 → SK하이닉스 -8.37%(장중 20만원 붕괴), 한미반도체 -6.72%, 삼성전자 -2.42%",반도체/AI,휴장 중 발생,돌발,—,5,3,▼,3.8,B,AI 반도체·HBM,N,N
KR-20250131-02,2025-01-31,2517.37,-0.77,Y,딥시크 수혜 기대로 NAVER·카카오 등 AI 소프트웨어 강세(저비용 AI 모델 확산 수혜),반도체/AI,휴장 중 발생,돌발,—,3,2,▲,2.4,B,AI 소프트웨어,N,N
KR-20250131-03,2025-01-31,2517.37,-0.77,Y,"FOMC 기준금리 4.25~4.50% 동결(1/30 04:00 KST, 연휴 중)",통화정책,1/30 04:00,예정,예상 동결 부합,2,1,◆,1.4,B,지수,N,N
KR-20250203-01,2025-02-03,2453.95,-2.52,Y,"트럼프, 멕시코·캐나다 25%·중국 10% 관세 행정명령 서명(2/2 KST) → 관세전쟁 본격화 ""블랙먼데이"", 2,500선 붕괴",정책(해외),2/2 주말,돌발,—,5,4,▼,4.4,B,지수·수출주·자동차,N,N
KR-20250203-02,2025-02-03,2453.95,-2.52,Y,"원/달러 1,470원 돌파",환율,장중,—,—,3,2,▼,2.4,C,지수,N,N
KR-20250204-01,2025-02-04,2481.69,1.13,N,"美, 멕시코·캐나다 관세 30일 유예(2/4 새벽 KST) → 관세 우려 완화, 환율 1,450원대 후반 진정",정책(해외),2/4 새벽,돌발,부과 예상 → 유예,4,3,▲,3.4,B,지수·자동차,N,N
KR-20250204-02,2025-02-04,2481.69,1.13,N,美 대중 10% 관세 발효(14:01 KST) + 중국 보복관세 발표 → 상승폭 제한,정책(해외),14:01 장중,예정,—,3,2,▼,2.4,A,지수·중국 관련주,N,N
KR-20250205-01,2025-02-05,2509.27,1.11,N,"관세전쟁 우려 감소, 외국인·기관 동반 순매수로 2,500선 회복. IT서비스 +4.06%",수급,장중,—,—,2,2,▲,2.0,C,지수,N,N
KR-20250206-01,2025-02-06,2536.75,1.10,N,"美 국채금리 하락·금리 안정 → 외국인·기관 순매수로 1%대 상승, 딥시크·관세 충격 이전 수준 회복",거시지표,전일밤,—,—,2,2,▲,2.0,C,지수,N,N
KR-20250207-01,2025-02-07,2521.92,-0.58,N,美 1월 고용보고서(22:30) 대기 속 외국인·기관 매도로 4거래일 만에 하락,수급,장중,—,—,2,1,▼,1.4,C,지수,N,N
KR-20250210-01,2025-02-10,2521.27,-0.03,N,"트럼프 ""모든 철강·알루미늄 25% 관세"" 발언(2/10 KST 오전, 에어포스원) → 철강주 하락(대한제강·동국제강·세아베스틸 -3%대, 현대제철 -2%)",정책(해외),2/10 오전,돌발,—,4,2,▼,2.8,B,철강,N,N
KR-20250210-02,2025-02-10,2521.27,-0.03,N,"장초 2,500선 하회 후 저가매수로 약보합 마감",수급,장중,—,—,1,1,◆,1.0,C,지수,N,N
KR-20250211-01,2025-02-11,2539.05,0.71,N,"철강·알루미늄 25% 관세 포고문 서명(2/11 KST 새벽, 3/12 발효)에도 사흘 만에 반등 — 영향 제한적 평가",정책(해외),2/11 새벽,예정,예고된 조치,3,2,▲,2.4,B,지수·철강,N,N
KR-20250212-01,2025-02-12,2548.39,0.37,N,"美 1월 CPI(22:30) 앞 관망, 조선주 강세(운송장비 +3.72%)",수급,장중,—,—,2,1,▲,1.4,C,조선,N,N
KR-20250213-01,2025-02-13,2583.17,1.36,N,"트럼프 상호관세 ""검토 지시"" 각서(2/14 03:00 KST 예정 보도) — 즉시 부과 아님 기대 → 현대차·기아 제외 기대, 3개월 최고",정책(해외),장중(보도),예정,—,4,3,▲,3.4,C,지수·자동차,N,N
KR-20250213-02,2025-02-13,2583.17,1.36,N,"기관 6,563억 순매수, 외국인 선물 7,752억 순매수",수급,장중,—,—,2,2,▲,2.0,C,지수,N,N
KR-20250213-03,2025-02-13,2583.17,1.36,N,美 1월 CPI 3.0%로 예상(2.9%) 상회(2/12 22:30) — 영향은 제한,거시지표,2/12 22:30,예정,예상 2.9% → 실제 3.0%,3,1,▼,1.8,B,금리민감주,N,N
KR-20250214-01,2025-02-14,2591.05,0.31,N,"상호관세 즉시 부과 없음 확인(2/14 새벽) → 불확실성 완화, 강보합",정책(해외),2/14 03:00,예정,즉시 부과 우려 → 검토 지시,3,1,▲,1.8,B,지수,N,N
KR-20250217-01,2025-02-17,2610.42,0.75,N,"기관 2,164억 순매수로 3개월 반 만에 2,610선 회복, 보험 +6.15%(밸류업·고배당)",수급,장중,—,—,2,2,▲,2.0,C,보험·금융,N,N
KR-20250218-01,2025-02-18,2626.81,0.63,N,국내 정치·미국발 악재 완화 속 상승 지속,수급,장중,—,—,1,1,▲,1.0,C,지수,N,N
KR-20250219-01,2025-02-19,2671.52,1.70,N,"외국인(3,954억)·기관(7,809억) 쌍끌이 매수로 7거래일 연속 상승, 5개월 만에 2,670선. 삼성전자 +3.16%, SK하이닉스 +4.05%",수급,장중,—,—,3,3,▲,3.0,C,지수·반도체,N,N
KR-20250220-01,2025-02-20,2654.06,-0.65,N,조선·전력기기·건설·반도체 주도주 차익실현으로 8거래일 만에 하락,수급,장중,—,—,2,1,▼,1.4,C,주도업종,N,N
KR-20250221-01,2025-02-21,2654.58,0.02,N,"숨고르기 보합, 외국인 2,187억 순매도",수급,장중,—,—,1,1,◆,1.0,C,지수,N,N
KR-20250224-01,2025-02-24,2645.27,-0.35,N,"美 경기 우려(2/21 소비심리·서비스 PMI 부진, 美 증시 급락) → 외국인·기관 동반 매도, 삼성전자 -1.55%",거시지표,2/22 새벽,예정,예상 하회,3,2,▼,2.4,B,지수,N,N
KR-20250225-01,2025-02-25,2630.29,-0.57,N,"한은 기준금리 0.25%p 인하 → 2.75%(만장일치, 10:00경), 성장률 전망 1.9%→1.5% 하향",통화정책,10:00 장중,예정,예상 인하 부합,4,2,◆,2.8,A,금리민감주·지수,N,N
KR-20250225-02,2025-02-25,2630.29,-0.57,N,"美 기술주 부진 → 2일 연속 하락, 2차전지 약세(LG에너지솔루션 -3.11%)",해외증시,전일밤,—,—,2,2,▼,2.0,B,2차전지,N,N
KR-20250226-01,2025-02-26,2641.03,0.41,N,엔비디아 실적(2/27 06:20 KST) 대기 속 소폭 반등,반도체/AI,장중,예정,—,1,1,▲,1.0,C,반도체,N,N
KR-20250227-01,2025-02-27,2621.75,-0.73,N,"엔비디아 4Q 호실적(2/27 새벽)에도 외국인(2,780억)·기관(2,378억) 동반 매도로 하락 — 호재 선반영",반도체/AI,2/27 06:20,예정,컨센 상회 → 주가 하락,3,2,▼,2.4,B,반도체,N,N
KR-20250228-01,2025-02-28,2532.78,-3.39,Y,"""검은 금요일"": 트럼프 멕시코·캐나다 25% 3/4 강행 + 중국 10% 추가 관세 발언(2/28 새벽) + 엔비디아 -8.5% → 코스피 -3.39%, 코스닥 -3.49%",정책(해외),2/28 새벽,돌발,—,5,4,▼,4.4,B,지수·반도체,N,N
KR-20250228-02,2025-02-28,2532.78,-3.39,Y,"외국인 1.5조원 순매도, 10거래일 만에 2,600선 붕괴(삼성전자 -3.20%, SK하이닉스 -4.52%)",수급,장중,—,—,3,3,▼,3.0,C,반도체,N,N
KR-20250304-01,2025-03-04,2528.92,-0.15,N,"美 멕시코·캐나다 25%·중국 추가 10% 관세 발효(3/4 14:01 KST), 중국 보복관세 발표 — 삼일절 연휴 후 약보합 선방",정책(해외),14:01 장중,예정,예고된 조치,4,1,◆,2.2,A,지수,N,N
KR-20250305-01,2025-03-05,2558.13,1.16,N,"트럼프 의회 연설(반도체법 폐지 언급, 3/5 11:00 KST)·中 양회 경기부양 목표 → 업종 순환매, 건설 +5%, 전기가스 +4.78%",정책(해외),11:00 장중,예정,—,3,2,▲,2.4,A,건설·유틸리티,N,N
KR-20250305-02,2025-03-05,2558.13,1.16,N,"SK하이닉스 +3.76%, 삼성전자 -0.92%(반도체법 폐지 우려)",반도체/AI,장중,—,—,2,2,◆,2.0,C,반도체,N,N
KR-20250306-01,2025-03-06,2576.16,0.70,N,"外人·기관 쌍끌이 매수, 원/달러 12원 하락(달러 약세) → 연이틀 강세",환율,장중,—,—,2,2,▲,2.0,C,지수,N,N
KR-20250307-01,2025-03-07,2563.48,-0.49,N,"법원, 윤 대통령 구속취소 결정(오후) → 정치 불확실성 확대, 변동성 확대",정치,14:00경 장중,돌발,—,5,2,▼,3.2,A,지수·정치테마,N,N
KR-20250307-02,2025-03-07,2563.48,-0.49,N,트럼프 관세 불확실성 지속(美 증시 하락),정책(해외),전일밤,—,—,2,1,▼,1.4,B,지수,N,N
KR-20250310-01,2025-03-10,2570.39,0.27,N,윤 대통령 석방(3/8) 후 첫 거래일 — 개인·기관 순매수로 강보합(정치 이벤트 영향 제한),정치,3/8 주말,돌발,—,3,1,◆,1.8,C,지수,N,N
KR-20250311-01,2025-03-11,2537.6,-1.28,N,"美 경기침체 공포: 트럼프 ""과도기"" 발언·침체 배제 안 해 → 나스닥 -4%(3/10 美) → 코스피 2%대 급락 출발 후 개인 4,900억 매수로 낙폭 축소",거시지표,3/11 새벽,돌발,—,4,3,▼,3.4,B,지수·성장주,N,N
KR-20250311-02,2025-03-11,2537.6,-1.28,N,테슬라 급락 → 2차전지 약세 지속,해외증시,3/11 새벽,—,—,2,2,▼,2.0,B,2차전지,N,N
KR-20250312-01,2025-03-12,2574.82,1.47,N,"반도체 업황 회복 전망 + 외국인 3,812억 순매수 → SK하이닉스 +5.91%, 삼성전자 +2.43%",반도체/AI,장중,—,—,3,3,▲,3.0,C,반도체,N,N
KR-20250312-02,2025-03-12,2574.82,1.47,N,美 철강·알루미늄 25% 관세 발효(3/12 13:01 KST),정책(해외),13:01 장중,예정,예고된 조치,2,1,◆,1.4,A,철강,N,N
KR-20250313-01,2025-03-13,2573.64,-0.05,N,"美 2월 CPI 2.8%로 예상 하회(3/12 21:30)에도 외국인 4,929억 매도로 보합 — 장초 2,598 후 반납",거시지표,3/12 21:30,예정,예상 2.9% → 실제 2.8%,3,1,◆,1.8,B,지수,N,N
KR-20250314-01,2025-03-14,2566.36,-0.28,N,"트럼프 관세 불확실성 + FOMC·BOJ(3/19) 앞 경계 → 외국인·기관 매도, 2일 연속 하락. 코스닥은 +1%",수급,장중,—,—,2,1,▼,1.4,C,지수,N,N
KR-20250317-01,2025-03-17,2610.69,1.73,N,"中 소비진작 특별행동방안(3/16) + 美 증시 반등 → 외국인·기관 매수, 삼성전자 등 반도체·방산 강세, 2,600선 탈환(+1.73%)",해외증시,3/16 주말,돌발,—,3,3,▲,3.0,B,반도체·방산·중국소비,N,N
KR-20250318-01,2025-03-18,2612.34,0.06,N,"외국인 4,354억 순매수, 강보합",수급,장중,—,—,1,1,▲,1.0,C,지수,N,N
KR-20250319-01,2025-03-19,2629.18,0.64,N,"반도체주 강세(마이크론 실적 기대)가 지수 견인, FOMC 결과(3/20 03:00) 대기",반도체/AI,장중,—,—,2,2,▲,2.0,C,반도체,N,N
KR-20250320-01,2025-03-20,2637.1,0.30,N,"FOMC 4.25~4.50% 동결, 연 2회 인하 점도표 유지·파월 ""침체 가능성 높지 않다""(3/20 03:00 KST) → 투심 개선",통화정책,3/20 03:00,예정,예상 부합(비둘기 해석),4,2,▲,2.8,B,지수,N,N
KR-20250320-02,2025-03-20,2637.1,0.30,N,삼성전자 정기주총(수원) — 주가 6만원대 회복,기업이벤트,09:00 장중,예정,—,3,1,▲,1.8,A,삼성전자,N,N
KR-20250321-01,2025-03-21,2643.13,0.23,N,"마이크론 FQ2 호실적(3/21 05:00 KST) → 삼성전자 +2.49%, SK하이닉스 +2.62%, 외국인 8,512억 순매수, 5거래일 연속 상승",반도체/AI,3/21 05:00,예정,컨센 상회,3,2,▲,2.4,B,반도체,N,N
KR-20250324-01,2025-03-24,2632.07,-0.42,N,"헌재, 한덕수 국무총리(대통령 권한대행) 탄핵 기각(10:00, 기각5·각하2·인용1) → 권한대행 복귀",정치,10:00 장중,예정,—,5,1,◆,2.6,A,지수,N,N
KR-20250324-02,2025-03-24,2632.07,-0.42,N,"개인 매도로 약보합, 한화에어로스페이스 +7%대(유상증자 전 방산 강세)",수급,장중,—,—,2,1,▼,1.4,C,방산,N,N
KR-20250325-01,2025-03-25,2615.81,-0.62,N,美 4/2 상호관세 발표 경계 + 산불 확산 등으로 이틀 연속 하락,수급,장중,—,—,2,1,▼,1.4,C,지수,N,N
KR-20250326-01,2025-03-26,2643.94,1.08,N,이재명 대표 공직선거법 2심 무죄(15:00경) — 정치 불확실성 해소 기대 해석,정치,15:00 장중,예정,1심 유죄 → 2심 무죄,5,1,▲,2.6,C,정치테마,N,N
KR-20250326-02,2025-03-26,2643.94,1.08,N,"트럼프 ""상호관세 유연성"" 발언 → 관세 완화 기대, 외국인 3,501억·기관 2,595억 순매수로 3거래일 만에 반등",정책(해외),3/25 새벽,돌발,—,3,2,▲,2.4,B,지수,N,N
KR-20250327-01,2025-03-27,2607.15,-1.39,Y,"트럼프, 수입 자동차·부품 25% 관세 행정명령 서명(3/27 05:00 KST, 4/3 발효) → 현대차 -3.38%, 기아 -2.07%",정책(해외),3/27 05:00,돌발,—,5,3,▼,3.8,B,자동차·부품,N,N
KR-20250328-01,2025-03-28,2557.98,-1.89,N,"공매도 전면 재개(3/31) 앞 투심 위축 + 관세 불확실성 → 1.89% 하락, 코스닥 700선 붕괴(693.76)",시장제도,3/31 예정,예정,—,4,3,▼,3.4,C,지수·2차전지·바이오,N,N
KR-20250331-01,2025-03-31,2481.12,-3.00,N,"공매도 전면 재개 첫날(17개월 만) → 외국인 약 1.6조 순매도, 삼성전자 6만원 붕괴, 전 업종 하락(전기전자 -4.35%)",시장제도,09:00,예정,—,5,4,▼,4.4,A,지수·2차전지·반도체,N,N
KR-20250331-02,2025-03-31,2481.12,-3.00,N,美 2월 근원 PCE 예상 상회(3/28) + 상호관세 우려 → 美 나스닥 -2.7%,거시지표,3/28 21:30,예정,예상 상회,3,3,▼,3.0,B,지수,N,N
KR-20250401-01,2025-04-01,2521.39,1.62,N,전일 급락 후 저가매수 반등(+1.62%),수급,장중,—,—,2,2,▲,2.0,C,지수,N,N
KR-20250402-01,2025-04-02,2505.86,-0.62,N,"美 상호관세 발표(4/3 05:00 KST, 로즈가든) 앞 경계감 → 외국인 7,280억 순매도",정책(해외),4/3 05:00 예정,예정,—,3,2,▼,2.4,C,지수,N,N
KR-20250403-01,2025-04-03,2486.7,-0.76,N,"美 상호관세 발표: 한국 25%(기본 10% + 추가), 자동차 25% 관세 발효 → 장초 -2.73%(2,437) 출발 후 낙폭 축소",정책(해외),4/3 05:00,예정,예상(10~20%) 상회,5,3,▼,3.8,B,지수·자동차·수출주,N,N
KR-20250403-02,2025-04-03,2486.7,-0.76,N,"원/달러 1,467원",환율,장중,—,—,2,1,▼,1.4,C,지수,N,N
KR-20250404-01,2025-04-04,2465.42,-0.86,N,"美 상호관세 충격 지속(4/3 나스닥 -6%), 외국인 1조 7,860억 순매도(3년 3개월 만 최대)",해외증시,4/4 새벽,돌발,—,5,3,▼,3.8,B,지수,N,N
KR-20250404-02,2025-04-04,2465.42,-0.86,N,"헌재, 윤석열 대통령 파면(11:22, 8:0 만장일치) → 선고 전 2,500 터치 후 ""불확실성 해소"" 차익매물로 반락, 정치테마주 상한가",정치,11:22 장중,예정,인용 예상 부합,5,2,◆,3.2,A,지수·정치테마,N,N
KR-20250407-01,2025-04-07,2328.2,-5.57,Y,"글로벌 관세 폭락장: 중국 34% 보복관세 → 美 S&P500 이틀간 -10.6%. 코스피 -5.57%, 09:12 매도 사이드카(8개월 만), SK하이닉스 -10%",정책(해외),4/4~5 美,돌발,—,5,5,▼,5.0,B,지수 전반,N,N
KR-20250407-02,2025-04-07,2328.2,-5.57,Y,"아시아 동반 폭락(닛케이 -7.8%, 항셍 -13%), 원/달러 +33.7원 급등",해외증시,장중,돌발,—,4,4,▼,4.0,A,지수·환율,N,N
KR-20250408-01,2025-04-08,2334.23,0.26,N,"삼성전자 1Q 잠정실적(장전) 영업이익 6.6조, 컨센서스(약 5.1조) 상회",기업실적,08:00 장전,예정,컨센 대비 약 +29%,3,2,▲,2.4,B,삼성전자,N,N
KR-20250408-02,2025-04-08,2334.23,0.26,N,"5거래일 만에 반등 — 장초 +2.28%(2,380) 후 외국인·기관 매도로 상승분 대부분 반납, 개인 6,015억 순매수",수급,장중,—,—,2,1,▲,1.4,C,지수,N,N
KR-20250409-01,2025-04-09,2293.7,-1.74,N,"美 상호관세 정식 발효(13:01 KST) + 美 대중 104% vs 中 84% 맞불 → 1년 5개월 만에 2,300 하회",정책(해외),13:01 장중,예정,—,5,3,▼,3.8,A,지수,N,N
KR-20250409-02,2025-04-09,2293.7,-1.74,N,외국인 1조 91억 순매도(9거래일 연속 매도),수급,장중,—,—,3,3,▼,3.0,C,지수,N,N
KR-20250410-01,2025-04-10,2445.06,6.60,Y,"트럼프, 상호관세 90일 유예(중국 제외) 발표(4/10 02:18 KST) → 美 나스닥 +12%, 코스피 +6.60%, 양 시장 매수 사이드카(09:06)",정책(해외),4/10 02:18,돌발,부과 예상 → 유예,5,5,▲,5.0,B,지수 전반,N,N
KR-20250410-02,2025-04-10,2445.06,6.60,Y,"외국인 선물 1.2조·현물 3,200억 순매수, 연기금 매수 확대",수급,장중,—,—,3,3,▲,3.0,C,지수,N,N
KR-20250411-01,2025-04-11,2432.72,-0.50,N,"백악관, 대중 관세 합계 145% 확인 → 美 증시 반락, 코스피 하루 만에 하락. 원/달러 1,449.9원으로 급락(원화 강세)",정책(해외),4/11 새벽,돌발,125% 인식 → 145% 확인,4,2,▼,2.8,B,지수,N,N
KR-20250414-01,2025-04-14,2455.89,0.95,N,"美, 스마트폰·반도체 등 전자제품 상호관세 제외(4/12 발표) → 삼성전자 +3.34%, SK하이닉스 +3.69%",정책(해외),4/12 주말,돌발,—,4,2,▲,2.8,B,반도체·IT,N,N
KR-20250415-01,2025-04-15,2477.41,0.88,N,관세 불확실성 완화 속 3거래일 연속 상승,수급,장중,—,—,1,1,▲,1.0,C,지수,N,N
KR-20250416-01,2025-04-16,2447.43,-1.21,Y,"美, 엔비디아 H20 대중 수출 허가제 → 엔비디아 55억달러 손실 반영 공시(4/16 05:00 KST) → 삼성전자 -3.36%, SK하이닉스 -3.65%",반도체/AI,4/16 05:00,돌발,—,4,3,▼,3.4,B,반도체,N,N
KR-20250416-02,2025-04-16,2447.43,-1.21,Y,"외국인 4,645억 순매도, 코스닥 700선 붕괴",수급,장중,—,—,2,2,▼,2.0,C,지수,N,N
KR-20250417-01,2025-04-17,2470.41,0.94,N,한은 기준금리 2.75% 동결(10:00경) — 환율·관세 불확실성에 숨 고르기,통화정책,10:00 장중,예정,예상 부합(일부 인하 기대),4,1,◆,2.2,A,금리민감주,N,N
KR-20250417-02,2025-04-17,2470.41,0.94,N,"파월 ""관세로 인플레·성장 딜레마"" 발언에도 저가매수 반등",통화정책,4/17 02:00,돌발,—,2,1,▲,1.4,B,지수,N,N
KR-20250418-01,2025-04-18,2483.42,0.53,N,"미·유럽 부활절 연휴 앞 관망, 이틀 연속 반등",수급,장중,—,—,1,1,▲,1.0,C,지수,N,N
KR-20250421-01,2025-04-21,2488.42,0.20,N,"트럼프, 파월 의장 해임 압박 → 연준 독립성 우려(4/21 美 증시 급락은 4/22 반영)",정책(해외),4/18~21,돌발,—,3,1,◆,1.8,C,지수,N,N
KR-20250422-01,2025-04-22,2486.64,-0.07,N,"美 증시 급락(파월 해임 우려, 4/21 美 -2.4%)에도 약보합 — 한·미 관세 협상(4/24) 앞 경계",정책(해외),4/22 새벽,돌발,—,3,1,▼,1.8,B,지수,N,N
