id,date,nasdaq_close,nasdaq_chg_pct,close_approx,clean_day,event,category,time_et,scheduled,expected_vs_actual,news_N,impact_I,direction,importance,confidence,exposure
US-20250204-01,2025-02-04,19654.02,1.35,N,N,캐나다 관세도 30일 유예(2/3 장후) + 中 대미 보복관세(석탄·LNG 15%) 제한적 → 안도,무역/관세,전일 장후,돌발,—,4,3,▲,3.4,B,지수
US-20250204-02,2025-02-04,19654.02,1.35,N,N,팔란티어 호실적 +24%,기업실적,전일 장후,예정,상회,3,1,▲,1.8,B,팔란티어·AI 소프트웨어
US-20250204-03,2025-02-04,19654.02,1.35,N,N,장후 알파벳 클라우드 미달 발표,기업실적,16:00 ET 장후,예정,미달,3,1,▼,1.8,A,알파벳
US-20250205-01,2025-02-05,19692.33,0.19,N,N,"알파벳 -7.3%(클라우드 성장 둔화, 750억달러 설비투자) vs 엔비디아 +5% (AI 투자 확대 수혜)",기업실적,전일 장후,예정,미달,3,2,◆,2.4,B,알파벳·AI 반도체
US-20250205-02,2025-02-05,19692.33,0.19,N,N,"10년물 4.42%로 하락(베선트 ""장기금리 낮추는 데 집중"")",채권/금리,장중,돌발,—,2,1,▲,1.4,C,성장주
US-20250206-01,2025-02-06,19791.99,0.51,N,N,"장후 아마존 가이던스 미달 발표 앞 기술주 강세, 엔비디아 +3%",AI/반도체,장중,—,—,2,1,▲,1.4,C,반도체
US-20250206-02,2025-02-06,19791.99,0.51,N,N,영란은행 금리 인하(4.5%),통화정책,07:00 ET 장전,예정,부합,1,1,◆,1.0,C,—
US-20250207-01,2025-02-07,19523.4,-1.36,N,N,1월 고용 +14.3만(예상 17만) vs 실업률 4.0%·임금 +0.5% → 금리 상승,거시지표,08:30 ET 장전,예정,고용 미달·임금 상회,4,3,▼,3.4,A,지수
US-20250207-02,2025-02-07,19523.4,-1.36,N,N,"트럼프 ""다음 주 상호관세 발표"" 예고 → 장 후반 낙폭 확대, 아마존 -4%",무역/관세,장중,돌발,—,4,2,▼,2.8,A,지수
US-20250207-03,2025-02-07,19523.4,-1.36,N,N,미시간대 1년 기대인플레 4.3%(전월 3.3%) 급등 → 스태그 우려,거시지표,10:00 ET 장중,예정,예상 상회,3,2,▼,2.4,A,소비재
US-20250210-01,2025-02-10,19714.27,0.98,N,N,"트럼프 철강·알루미늄 25% 관세 발표(2/9 일) → 철강주↑, 시장 영향 제한적",무역/관세,주말,돌발,—,4,1,▲,2.2,B,철강·알루미늄
US-20250210-02,2025-02-10,19714.27,0.98,N,N,"반도체 강세(브로드컴 +5%, AI 투자 확대 기대) → 나스닥 +1%",AI/반도체,장중,—,—,2,2,▲,2.0,C,반도체
US-20250211-01,2025-02-11,19643.86,-0.36,N,N,"파월 상원 증언 ""금리 인하 서두를 필요 없어""",통화정책,10:00 ET 장중,예정,부합,3,1,▼,1.8,A,금리민감주
US-20250211-02,2025-02-11,19643.86,-0.36,N,N,"테슬라 -6%(유럽 판매 급감), 애플 +2%(알리바바 AI 협력)",기업이벤트,장중,—,—,2,1,◆,1.4,C,테슬라·애플
US-20250212-01,2025-02-12,19649.95,0.03,N,N,1월 CPI 3.0%(예상 2.9%)·근원 3.3% 상회 → 장초 나스닥 -1% 후 회복,거시지표,08:30 ET 장전,예정,예상 상회,5,2,◆,3.2,A,지수
US-20250212-02,2025-02-12,19649.95,0.03,N,N,"트럼프-푸틴 통화, 우크라 종전 협상 개시 합의",지정학,장중,돌발,—,4,1,▲,2.2,A,방산·유럽
US-20250213-01,2025-02-13,19945.64,1.50,N,Y,"트럼프 상호관세 ""검토 지시"" 각서 서명(즉시 부과 아님, 4/1 이후) → 안도 랠리, 나스닥 +1.5%",무역/관세,13:00 ET 장중,예정,즉시 부과 우려 → 검토,5,3,▲,3.8,A,지수
US-20250213-02,2025-02-13,19945.64,1.50,N,Y,1월 PPI 상회했지만 PCE 연동 항목 하락 → 금리 하락,거시지표,08:30 ET 장전,예정,헤드라인 상회,2,1,▲,1.4,A,금리민감주
US-20250214-01,2025-02-14,20026.77,0.41,N,N,"1월 소매판매 -0.9%(예상 -0.2%) 급감 → 금리 하락, 나스닥 2만선 회복",거시지표,08:30 ET 장전,예정,예상 하회,3,1,▲,1.8,A,지수
US-20250214-02,2025-02-14,20026.77,0.41,N,N,애플·엔비디아 강세,AI/반도체,장중,—,—,1,1,▲,1.0,C,빅테크
US-20250218-01,2025-02-18,20041.26,0.07,N,N,"S&P 사상 최고(6,129.58). 인텔 +16%(TSMC·브로드컴 인수 검토 보도)",기업이벤트,장중,돌발,—,3,1,▲,1.8,C,인텔·반도체
US-20250218-02,2025-02-18,20041.26,0.07,N,N,(2/17 대통령의 날 휴장) 美-러 사우디 회담,지정학,장중,예정,—,3,1,◆,1.8,C,—
US-20250219-01,2025-02-19,20056.25,0.07,N,N,"S&P 사상 최고 경신(6,144.15, 2025년 고점) — 이후 4월 초까지 -19% 조정",수급/기술적,장중,—,—,3,1,▲,1.8,C,지수
US-20250219-02,2025-02-19,20056.25,0.07,N,N,"1월 FOMC 의사록 ""관세로 인플레 상방 위험""",통화정책,14:00 ET 장중,예정,—,2,1,◆,1.4,A,금리민감주
US-20250220-01,2025-02-20,19962.37,-0.47,N,N,월마트 연간 가이던스 실망 -6.5% → 소비 둔화 우려,기업실적,장전,예정,미달,3,2,▼,2.4,A,소매·소비재
US-20250220-02,2025-02-20,19962.37,-0.47,N,N,"트럼프 ""中과 새 무역협정 가능"" 발언",무역/관세,장중,돌발,—,2,1,▲,1.4,C,중국 노출주
US-20250221-01,2025-02-21,19524.01,-2.20,N,Y,"S&P 서비스 PMI 49.7(2023.1 이후 첫 위축) + 미시간 소비심리 64.7 급락·장기 기대인플레 3.5% → 스태그플레이션 우려, 나스닥 -2.2%",거시지표,09:45/10:00 ET 장중,예정,예상 하회,4,4,▼,4.0,A,지수·소비재
US-20250221-02,2025-02-21,19524.01,-2.20,N,Y,유나이티드헬스 -7%(메디케어 과다청구 조사 보도),기업이벤트,장중,돌발,—,3,1,▼,1.8,A,헬스케어
US-20250221-03,2025-02-21,19524.01,-2.20,N,Y,中 우한 신종 박쥐 코로나 발견 보도 → 백신주 급등,기타,장중,돌발,—,2,1,▼,1.4,C,백신·여행
US-20250224-01,2025-02-24,19286.93,-1.21,Y,N,"트럼프 ""캐·멕 관세 3/4 예정대로"" 발언 + AI주 약세(MS 데이터센터 임대 취소 보도) → 나스닥 -1.2%",무역/관세,14:00 ET 장중,돌발,—,4,3,▼,3.4,A,AI·수입의존
US-20250224-02,2025-02-24,19286.93,-1.21,Y,N,팔란티어 -10%(국방예산 삭감 우려),정책(미국),장중,돌발,—,2,1,▼,1.4,C,팔란티어
US-20250225-01,2025-02-25,19026.39,-1.35,Y,N,"컨퍼런스보드 소비자신뢰 98.3 — 2021.8 이후 최대 낙폭 → 10년물 4.3%로 급락, 테슬라 -8%",거시지표,10:00 ET 장중,예정,예상 102.5 → 실제 98.3,4,3,▼,3.4,A,지수·소비재
US-20250225-02,2025-02-25,19026.39,-1.35,Y,N,엔비디아 실적(2/26) 앞 반도체 약세,AI/반도체,장중,—,—,2,2,▼,2.0,C,반도체
US-20250226-01,2025-02-26,19075.26,0.26,N,N,엔비디아 4Q 매출 393억달러(예상 380억) 발표(16:20 ET),기업실적,16:20 ET 장후,예정,상회,5,1,◆,2.6,A,엔비디아
US-20250226-02,2025-02-26,19075.26,0.26,N,N,"엔비디아 실적 발표(장후) 앞 소폭 반등; 트럼프 ""EU에 25% 관세"" 발언(장중)",무역/관세,장중,돌발,—,3,1,◆,1.8,A,유럽 노출주
US-20250227-01,2025-02-27,18544.42,-2.78,N,N,"엔비디아 호실적에도 -8.5%(마진 가이던스 실망) → AI 랠리 퇴색, 나스닥 -2.8%",AI/반도체,전일 장후,예정,매출 상회·마진 미달,5,4,▼,4.4,B,AI 반도체
US-20250227-02,2025-02-27,18544.42,-2.78,N,N,"트럼프 ""캐·멕 관세 3/4 발효 + 中 10% 추가"" 확인 → 장중 낙폭 확대",무역/관세,장중,돌발,—,4,2,▼,2.8,A,지수
US-20250228-01,2025-02-28,18847.28,1.63,N,N,"트럼프-젤렌스키 백악관 공개 설전(장중) 후 장 후반 반등, 월말 리밸런싱 → 나스닥 +1.6%",지정학,12:00 ET 장중,돌발,—,5,3,◆,3.8,A,방산·유럽
US-20250228-02,2025-02-28,18847.28,1.63,N,N,1월 근원 PCE 2.6% 부합,거시지표,08:30 ET 장전,예정,부합,2,1,▲,1.4,A,지수
US-20250303-01,2025-03-03,18350.19,-2.64,N,Y,"트럼프 ""캐·멕 관세 협상 여지 없다(3/4 발효)"" → 장 후반 급락, 나스닥 -2.6%",무역/관세,15:00 ET 장중,돌발,연기 기대 → 강행,5,4,▼,4.4,A,지수·자동차
US-20250303-02,2025-03-03,18350.19,-2.64,N,Y,"ISM 제조업 50.3 둔화·가격지수 급등, 애틀랜타 연은 GDPNow -2.8%",거시지표,10:00 ET 장중,예정,예상 하회,3,2,▼,2.4,A,지수
US-20250303-03,2025-03-03,18350.19,-2.64,N,Y,엔비디아 -8.7%,AI/반도체,장중,—,—,3,2,▼,2.4,C,반도체
US-20250304-01,2025-03-04,18285.16,-0.35,N,N,캐·멕 25%·中 추가 10%(누적 20%) 관세 발효(00:01 ET) → 캐·中 즉각 보복,무역/관세,00:01 ET,예정,—,5,2,▼,3.2,B,지수
US-20250304-02,2025-03-04,18285.16,-0.35,N,N,"러트닉 ""캐·멕 타협 가능"" 발언으로 낙폭 축소(-0.35%)",무역/관세,장후 인터뷰(전일),돌발,—,3,1,▲,1.8,C,—
US-20250305-01,2025-03-05,18552.73,1.46,N,N,"트럼프, 美·멕·캐협정(USMCA) 자동차 관세 1개월 면제 → 자동차·나스닥 +1.5%",무역/관세,13:00 ET 장중,돌발,—,4,3,▲,3.4,A,자동차
US-20250305-02,2025-03-05,18552.73,1.46,N,N,독일 재정 확장(부채 브레이크 개혁) 발표 → 글로벌 금리 급등,재정,장전,돌발,—,3,1,◆,1.8,C,유럽
US-20250305-03,2025-03-05,18552.73,1.46,N,N,ADP 고용 7.7만(예상 14만) 부진,거시지표,08:15 ET 장전,예정,예상 하회,2,1,▼,1.4,A,지수
US-20250306-01,2025-03-06,18069.26,-2.61,N,N,"USMCA 품목 관세 4/2까지 유예 확대에도 기술주 매도 → 나스닥 -2.6%, 12/16 고점 대비 -10% 조정 진입",수급/기술적,장중,—,—,4,4,▼,4.0,C,지수·반도체
US-20250306-02,2025-03-06,18069.26,-2.61,N,N,마벨 -20%(가이던스 실망),기업실적,전일 장후,예정,미달,2,1,▼,1.4,B,반도체
US-20250307-01,2025-03-07,18196.22,0.70,N,N,"2월 고용 +15.1만(예상 16만) 무난 + 파월 ""서두르지 않아, 경제 양호"" → 장중 저점 대비 반등",거시지표,08:30 ET 장전,예정,소폭 미달,4,2,▲,2.8,A,지수
US-20250307-02,2025-03-07,18196.22,0.70,N,N,"트럼프 ""캐나다 유제품·목재 관세"" 위협",무역/관세,장중,돌발,—,2,1,▼,1.4,C,캐나다 노출주
US-20250310-01,2025-03-10,17468.32,-4.00,N,Y,"트럼프 폭스뉴스 인터뷰(3/9 일) ""과도기(transition)"" 경기침체 배제 안 해 → 나스닥 -4.0%(2022.9 이후 최악)",정치,주말,돌발,—,5,4,▼,4.4,B,지수·고밸류
US-20250310-02,2025-03-10,17468.32,-4.00,N,Y,"테슬라 -15%, 팔란티어 -10% (고밸류 성장주 집중 매도)",수급/기술적,장중,—,—,3,2,▼,2.4,C,테슬라·팔란티어
US-20250311-01,2025-03-11,17436.1,-0.18,N,N,트럼프 캐나다 철강·알루미늄 50% 위협(온타리오 전기 할증 대응) → 온타리오 철회 후 번복,무역/관세,09:30 ET 장중,돌발,—,4,1,▼,2.2,A,철강·캐나다
US-20250311-02,2025-03-11,17436.1,-0.18,N,N,우크라 30일 휴전안 수용(사우디 회담),지정학,장중,돌발,—,3,1,▲,1.8,C,유럽
US-20250311-03,2025-03-11,17436.1,-0.18,N,N,JOLTS 구인 774만 예상 상회,거시지표,10:00 ET 장중,예정,상회,1,1,◆,1.0,C,—
US-20250312-01,2025-03-12,17648.45,1.22,N,N,2월 CPI 2.8%(예상 2.9%)·근원 3.1% 하회 → 기술주 반등 +1.2%,거시지표,08:30 ET 장전,예정,예상 하회,4,3,▲,3.4,A,지수·성장주
US-20250312-02,2025-03-12,17648.45,1.22,N,N,철강·알루미늄 25% 관세 발효 → EU·캐나다 보복관세 발표,무역/관세,00:01 ET,예정,—,3,1,▼,1.8,C,철강
US-20250313-01,2025-03-13,17303.01,-1.96,Y,N,"트럼프 ""EU 와인·주류 200% 관세"" 위협 → S&P 2/19 고점 대비 -10% 조정 진입",무역/관세,08:00 ET 장전,돌발,—,4,3,▼,3.4,A,지수
US-20250313-02,2025-03-13,17303.01,-1.96,Y,N,2월 PPI 보합(예상 +0.3%)에도 반영 안 됨; 셧다운 우려,거시지표,08:30 ET 장전,예정,예상 하회,2,1,◆,1.4,A,—
US-20250314-01,2025-03-14,17754.09,2.61,Y,N,슈머 민주당 원내대표 임시예산안 지지(3/13 밤) → 셧다운 회피 기대 + 저가매수 → 나스닥 +2.6%,재정,전일 밤,돌발,—,3,4,▲,3.6,B,지수
US-20250314-02,2025-03-14,17754.09,2.61,Y,N,미시간대 소비심리 57.9 급락·기대인플레 급등에도 반등,거시지표,10:00 ET 장중,예정,예상 하회,2,1,▼,1.4,A,—
US-20250317-01,2025-03-17,17808.66,0.31,Y,N,2월 소매판매 +0.2%(예상 0.6%) 부진에도 핵심(컨트롤그룹) +1.0% 양호 → 2일 연속↑,거시지표,08:30 ET 장전,예정,헤드라인 미달·근원 상회,3,1,▲,1.8,A,소비재
US-20250317-02,2025-03-17,17808.66,0.31,Y,N,中 소비부양책 발표,정책(해외),주말,돌발,—,2,1,▲,1.4,C,중국 노출주
US-20250318-01,2025-03-18,17504.12,-1.71,N,N,"엔비디아 GTC 키노트(13:00 ET) 실망 -3.4%, 테슬라 -5%, 알파벳 위즈 320억달러 인수 → 나스닥 -1.7%",AI/반도체,13:00 ET 장중,예정,—,4,3,▼,3.4,A,AI 반도체
US-20250318-02,2025-03-18,17504.12,-1.71,N,N,이스라엘 가자 공습 재개(휴전 붕괴),지정학,장전,돌발,—,3,1,▼,1.8,C,에너지
US-20250319-01,2025-03-19,17750.79,1.41,N,N,"FOMC 동결, 점도표 연 2회 인하 유지 + QT 속도 축소(국채 월 250억→50억) + 파월 ""관세 인플레는 일시적(transitory)"" → +1.4%",통화정책,14:00 ET 장중,예정,비둘기 서프라이즈(QT),5,3,▲,3.8,A,지수
US-20250320-01,2025-03-20,17691.62,-0.33,N,N,"트럼프 ""4/2 상호관세 예정대로"" + 마이크론 가이던스 호실적 후 하락 반전",무역/관세,장중,돌발,—,3,1,▼,1.8,C,지수
US-20250320-02,2025-03-20,17691.62,-0.33,N,N,BOJ·영란은행 동결,통화정책,장전,예정,부합,1,1,◆,1.0,C,—
US-20250321-01,2025-03-21,17784.05,0.52,N,N,"트럼프 ""상호관세 유연성(flexibility)"" 발언 → 장초 -1% 후 반등, 쿼드러플 위칭(분기 선물옵션 만기)",무역/관세,장중,돌발,—,3,1,▲,1.8,A,지수
US-20250321-02,2025-03-21,17784.05,0.52,N,N,"페덱스 가이던스 하향 -6%, 나이키 -5%",기업실적,전일 장후,예정,미달,2,1,▼,1.4,B,운송·소비재
US-20250324-01,2025-03-24,18188.59,2.27,N,Y,"WSJ·블룸버그 ""4/2 상호관세 범위 축소·일부 국가 면제"" 보도(3/23) → 나스닥 +2.3%, 테슬라 +12%",무역/관세,주말,돌발,—,4,4,▲,4.0,B,지수·테슬라
US-20250324-02,2025-03-24,18188.59,2.27,N,Y,S&P 서비스 PMI 54.3 반등,거시지표,09:45 ET 장중,예정,예상 상회,2,1,▲,1.4,A,—
US-20250325-01,2025-03-25,18271.86,0.46,N,N,컨퍼런스보드 소비자신뢰 92.9(12년 만에 최저 기대지수)에도 소폭 상승,거시지표,10:00 ET 장중,예정,예상 하회,2,1,◆,1.4,A,소비재
US-20250325-02,2025-03-25,18271.86,0.46,N,N,"트럼프 ""베네수엘라 원유 수입국 25% 2차 관세""",무역/관세,전일,돌발,—,2,1,◆,1.4,C,에너지
US-20250326-01,2025-03-26,17899.01,-2.04,N,N,"中 에너지효율 규제로 엔비디아 H20 판매 제한 보도(FT) → 엔비디아 -6%, 반도체 급락",AI/반도체,장전,돌발,—,3,4,▼,3.6,B,AI 반도체
US-20250326-02,2025-03-26,17899.01,-2.04,N,N,자동차 관세 발표 임박(백악관 16:00 ET 기자회견 예고) → 자동차·테슬라 -5.6%,무역/관세,장중,예정,—,4,2,▼,2.8,A,자동차
US-20250327-01,2025-03-27,17804.03,-0.53,N,N,"수입차·부품 25% 관세 행정명령(3/26 장후, 4/3 발효) → GM -7.4%, 포드 -3.9%",무역/관세,전일 16:00 ET 장후,예정,—,5,2,▼,3.2,B,자동차·부품
US-20250327-02,2025-03-27,17804.03,-0.53,N,N,4Q GDP 확정 2.4% 상향,거시지표,08:30 ET 장전,예정,상회,1,1,◆,1.0,C,—
